"day_utc","views","unique_visitors","last_seen_snapshot_utc"
"2026-05-20","20","11","2026-06-03T19:58:36Z"
"2026-05-21","18","10","2026-06-03T19:58:36Z"
"2026-05-22","33","17","2026-06-03T19:58:36Z"
"2026-05-23","52","16","2026-06-03T19:58:36Z"
"2026-05-24","33","15","2026-06-03T19:58:36Z"
"2026-05-25","49","26","2026-06-03T19:58:36Z"
"2026-05-26","55","19","2026-06-03T19:58:36Z"
"2026-05-27","44","27","2026-06-03T19:58:36Z"
"2026-05-28","50","25","2026-06-03T19:58:36Z"
"2026-05-29","25","15","2026-06-03T19:58:36Z"
"2026-05-30","39","21","2026-06-03T19:58:36Z"
"2026-05-31","50","17","2026-06-03T19:58:36Z"
"2026-06-01","28","14","2026-06-03T19:58:36Z"
"2026-06-02","15","11","2026-06-03T19:58:36Z"
