"day_utc","views","unique_visitors","last_seen_snapshot_utc"
"2026-06-24","19","9","2026-07-08T17:53:06Z"
"2026-06-25","16","11","2026-07-08T17:53:06Z"
"2026-06-26","11","6","2026-07-08T17:53:06Z"
"2026-06-27","31","11","2026-07-08T17:53:06Z"
"2026-06-28","17","7","2026-07-08T17:53:06Z"
"2026-06-29","12","7","2026-07-08T17:53:06Z"
"2026-06-30","42","4","2026-07-08T17:53:06Z"
"2026-07-01","7","5","2026-07-08T17:53:06Z"
"2026-07-02","16","6","2026-07-08T17:53:06Z"
"2026-07-03","7","6","2026-07-08T17:53:06Z"
"2026-07-04","9","6","2026-07-08T17:53:06Z"
"2026-07-05","4","3","2026-07-08T17:53:06Z"
"2026-07-06","25","14","2026-07-08T17:53:06Z"
"2026-07-07","12","7","2026-07-08T17:53:06Z"
